Name,Marketcap,Country,Share price,Change (1 day),Change (1 year),Categories
Brenntag,$12.60 B,Germany,$85.45,0.15%,35.29%,"🧪 Chemicals, 🇩🇪 DAX"
Hua Xia Bank,$12.61 B,China,$0.79,-2.57%,2.60%,"🏦 Banks, 💳 Financial services"
NIBE Industrier,$12.18 B,Sweden,$6.65,3.26%,-32.35%,N/A
Bandai Namco,$12.59 B,Japan,$19.08,-2.17%,-70.45%,"👩‍💻 Tech, 🎮 Video games, Entertainment"
AppLovin,$12.54 B,USA,$37.36,1.41%,258.89%,"👨‍💻 Software, 👩‍💻 Tech"
Nomura Holdings,$12.63 B,Japan,$4.19,-0.71%,17.37%,"🏦 Banks, 💳 Financial services"
Aéroports de Paris,$12.45 B,France,$126.27,2.27%,-9.35%,"🛫 Airports, 🛣️ Infrastructure"
Enel Américas,$12.61 B,Chile,$0.12,1.41%,-7.69%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Abu Dhabi National Oil Company (ADNOC),$12.56 B,eu United Arab Emirates,$1.00,-1.60%,-18.03%,"🛢 Oil&Gas, ⚡ Energy"
Twilio,$12.78 B,USA,$70.61,2.66%,54.20%,"👨‍💻 Software, 👩‍💻 Tech"
KEPCO,$12.56 B,Japan,$14.08,-1.60%,66.82%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Adevinta,$12.51 B,Norway,$10.27,-0.27%,54.67%,"🛒 E-Commerce, 🖥️ Internet, 👩‍💻 Tech"
AECOM,$12.40 B,USA,$91.23,-0.30%,6.71%,👷 Engineering
Godrej,$12.53 B,India,$12.26,0.24%,11.86%,🏙 Conglomerate
Taiwan Cooperative Financial,$12.52 B,Taiwan,$0.85,0.00%,0.00%,"🏦 Banks, 🏦 Insurance, 💳 Financial services"
Williams-Sonoma,$12.49 B,USA,$194.81,-0.26%,71.99%,"🛍️ Retail, 🏠 Home & Kitchen Appliances, 🪑 Furniture"
Hyatt Hotels,$12.64 B,USA,$122.64,1.51%,26.22%,"🏨 Hotels, 🌴 Travel"
Kimco Realty,$12.54 B,USA,$20.24,0.55%,-6.94%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
AspenTech,$12.67 B,USA,$198.99,1.81%,-11.30%,"👨‍💻 Software, 👩‍💻 Tech"
UDR Apartments,$12.56 B,USA,$35.37,1.06%,-11.91%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Ternium Argentina,$12.46 B,ar Argentina,$2.76,6.64%,"3,350.00%","🔩 Steel producers, 🔩 Steel industry"
Hotai Motor,$12.42 B,Taiwan,$22.31,1.01%,10.45%,🚗 Automakers
KeyCorp (KeyBank),$12.41 B,USA,$13.26,1.14%,-22.82%,"🏦 Banks, 💳 Financial services"
Link REIT,$12.43 B,Hong Kong,$4.85,0.40%,-30.52%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
Tata Power,$12.40 B,India,$3.88,-0.69%,41.61%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Solvay,$12.57 B,Belgium,$119.68,0.00%,22.30%,🧪 Chemicals
TransUnion,$12.13 B,USA,$62.63,-0.02%,5.23%,💳 Financial services
Gaming and Leisure Properties,$12.30 B,USA,$46.08,-0.60%,-11.28%,"🏠 Real estate, 💰 Investment, 🎰 Gambling, 🏘️ REITs"
Avangrid,$12.40 B,USA,$32.07,-0.68%,-24.58%,"🔋 Electricity, ⚡ Energy"
Davide Campari-Milano,$12.28 B,Italy,$10.86,0.92%,4.12%,"🍷 Alcoholic beverages, 🥤 Beverages"
Koç Holding,$12.43 B,Turkey,$4.90,-0.56%,35.73%,🏙 Conglomerate
LG Electronics,$12.31 B,South Korea,$72.06,-0.73%,5.44%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Zomato,$12.31 B,India,$1.44,-1.44%,84.62%,"🖥️ Internet, 👩‍💻 Tech, 🍴 Food, 🥡 Food Delivery"
Incyte,$12.25 B,USA,$54.70,-0.87%,-34.97%,"💊 Pharmaceuticals, 🧬 Biotech"
Tenaga Nasional,$12.26 B,Malaysia,$8.45,0.00%,1.68%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Cochlear,$12.21 B,Australia,$186.43,0.53%,32.88%,Medical devices
ABN AMRO,$12.26 B,Netherlands,$14.17,1.47%,13.09%,"🏦 Banks, 💳 Financial services"
Grab Holdings,$12.32 B,Singapore,$3.15,1.29%,2.94%,"🖥️ Internet, 👩‍💻 Tech, 🍴 Food, 🚘 Ridesharing, 🥡 Food Delivery"
Bharat Petroleum,$12.20 B,India,$5.64,-0.90%,38.24%,N/A
LKQ Corporation,$12.14 B,USA,$45.40,0.44%,-15.08%,auto parts
Bank Negara Indonesia,$12.19 B,Indonesia,$0.33,-3.79%,-45.90%,"🏦 Banks, 💳 Financial services"
Zebra Technologies,$12.12 B,USA,$236.13,1.24%,-6.60%,"👨‍💻 Software, 👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
Affirm,$12.69 B,USA,$42.07,6.75%,262.05%,💳 Financial services
AES,$12.20 B,USA,$18.22,0.28%,-35.71%,"🔋 Electricity, ⚡ Energy"
China Merchants Shekou Industrial Zone,$12.11 B,China,$1.34,-1.54%,-36.19%,N/A
Trent Limited,$12.11 B,India,$34.09,-0.14%,92.27%,🛍️ Retail
Okta,$11.90 B,USA,$72.01,0.01%,12.83%,"👨‍💻 Software, 🖥️ Internet, 👩‍💻 Tech, 🔒 IT security"
BDO Unibank,$12.11 B,Philippines,$22.60,0.04%,-1.44%,"🏦 Banks, 💳 Financial services"
PChem (Petronas Chemicals Group),$12.08 B,Malaysia,$1.51,1.58%,-20.94%,🧪 Chemicals
Jack Henry & Associates,$11.99 B,USA,$164.69,-0.28%,-10.94%,"💳 Financial services, 👩‍💻 Tech"
ABB India,$12.06 B,India,$56.95,0.04%,56.76%,👷 Engineering
Turkish Airlines,$12.12 B,Turkey,$8.79,-2.21%,20.91%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Rede D'Or Sao Luiz,$12.12 B,Brazil,$5.38,0.76%,0.94%,"⚕️ Healthcare, 🏥 Medical Care Facilities"
ENEOS Holdings,$12.04 B,Japan,$3.99,-0.43%,21.65%,"🛢 Oil&Gas, ⚡ Energy"
Indian Railway Finance,$12.00 B,India,$0.92,0.72%,135.90%,"🚂 Railways, 💰 Investment, 🛣️ Infrastructure"
Shanghai Airport (AVINEX),$11.98 B,China,$4.82,1.50%,-41.93%,"🛫 Airports, 🛣️ Infrastructure"
Shree Cement,$11.97 B,India,$331.96,-1.25%,11.52%,N/A
Fresenius Medical Care,$12.10 B,Germany,$20.63,2.53%,29.50%,"⚕️ Healthcare, 🇩🇪 DAX"
First Financial Holding,$11.96 B,Taiwan,$0.88,0.55%,2.33%,"🏦 Banks, 💳 Financial services"
Adani Transmission,$11.94 B,India,$10.70,-7.26%,-67.30%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Brambles,$11.88 B,Australia,$8.54,-0.76%,7.42%,🚚 Transportation
Renault,$11.82 B,France,$40.99,0.96%,14.18%,"🚗 Automakers, 🇫🇷 CAC 40, 🏭 Manufacturing"
Power Financial,$11.84 B,Canada,$12.89,-0.51%,-6.19%,"💳 Financial services, Asset Management"
Capitec Bank,$11.89 B,South Africa,$101.94,-0.79%,2.33%,"🏦 Banks, 💳 Financial services"
Kikkoman,$11.90 B,Japan,$62.55,-1.22%,13.29%,🍴 Food
EVE Energy,$11.87 B,China,$5.81,-1.28%,-55.78%,"⚡ Energy, 🔋 Batteries"
INWIT,$11.80 B,Italy,$12.46,1.01%,24.48%,📡 Telecommunication
CapitaLand Investment Limited,$11.83 B,Singapore,$2.31,0.00%,-13.48%,"🏠 Real estate, 💰 Investment"
Celsius Holdings,$11.79 B,USA,$50.90,-0.12%,-56.95%,🥤 Beverages
Qatar Islamic Bank,$11.85 B,eu Qatar,$5.02,-0.54%,-20.94%,"🏦 Banks, 💳 Financial services"
Interpublic Group,$11.95 B,USA,$31.22,1.26%,-2.89%,➡️ Advertising
Viatris,$11.79 B,USA,$9.83,0.72%,-10.31%,"💊 Pharmaceuticals, 🧬 Biotech"
AIB Group (Allied Irish Banks),$12.14 B,Ireland,$4.24,-3.72%,26.19%,"🏦 Banks, 💳 Financial services"
Texas Pacific Land Trust,$11.86 B,USA,"$1,546",1.95%,-35.92%,N/A
Evergy,$11.84 B,USA,$51.56,-0.27%,-16.84%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Cipla,$11.81 B,India,$14.63,-0.30%,8.69%,"💊 Pharmaceuticals, 🧬 Biotech"
Kirin Holdings,$11.81 B,Japan,$14.56,-0.80%,-6.00%,"🍷 Alcoholic beverages, 🥤 Beverages, 🍴 Food"
Regency Centers,$11.87 B,USA,$63.96,0.77%,-3.03%,"🏠 Real estate, 💰 Investment"
Banque Saudi Fransi,$11.79 B,Saudi Arabia,$9.85,0.27%,-0.20%,"🏦 Banks, 💳 Financial services"
Galp Energia,$11.73 B,Portugal,$14.36,0.00%,15.81%,"🛢 Oil&Gas, ⚡ Energy"
Formosa Chemicals & Fibre,$11.78 B,Taiwan,$2.01,0.00%,-13.36%,🧪 Chemicals
The Mosaic Company,$11.66 B,USA,$35.68,-0.64%,-24.09%,🌱 Fertilizer companies
A. O. Smith,$11.59 B,USA,$77.99,-0.03%,33.50%,N/A
Ambuja Cements,$11.77 B,India,$5.93,-2.13%,-17.06%,"Cement, 🧱 Building materials"
Lincoln Electric,$11.82 B,USA,$206.80,1.00%,39.90%,N/A
Morningstar,$11.73 B,USA,$274.76,-0.09%,16.10%,💳 Financial services
Exact Sciences,$11.70 B,USA,$64.72,-0.37%,40.82%,"⚕️ Diagnostics and Testing, 🧬 Biotech"
Cholamandalam Investment and Finance,$11.75 B,India,$14.00,2.59%,55.04%,"💳 Financial services, 💰 Investment"
Trimble,$11.66 B,USA,$46.90,0.32%,-18.73%,"👨‍💻 Software, 👩‍💻 Tech"
Neurocrine Biosciences,$11.52 B,USA,$117.28,-2.27%,-2.58%,"💊 Pharmaceuticals, 🧬 Biotech"
Elastic NV,$11.53 B,USA,$115.81,2.31%,113.83%,"👨‍💻 Software, 👩‍💻 Tech"
Divis Laboratories,$11.72 B,India,$44.17,-1.41%,10.51%,"💊 Pharmaceuticals, 🧬 Biotech"
Suncorp,$11.61 B,Australia,$9.15,0.07%,15.82%,"🏦 Banks, 🏦 Insurance, 💳 Financial services"
Dabur,$11.64 B,India,$6.57,0.31%,-10.61%,🛍 Consumer goods
Metro,$11.53 B,Canada,$50.40,-0.42%,-11.52%,"🛍️ Retail, 🛒 Supermarket Chains"
Bank of Shanghai,$11.58 B,China,$0.82,-0.17%,-5.75%,"🏦 Banks, 💳 Financial services"
Norsk Hydro,$11.50 B,Norway,$5.71,0.32%,-23.46%,Aluminum
Bangkok Dusit Medical Services (BDMS),$11.65 B,Thailand,$0.73,0.00%,-9.88%,"⚕️ Healthcare, 🏥 Medical Care Facilities"
Ritchie Bros. Auctioneers,$11.45 B,Canada,$62.83,-0.43%,10.00%,N/A
TPG Capital,$11.59 B,USA,$37.49,1.02%,17.45%,💰 Investment
DexCom,$11.36 B,USA,$116.97,-1.61%,-4.65%,"Medical devices, 🧬 Biotech"
Severstal,$11.42 B,Russia,$13.57,-0.82%,N/A,"⛏️ Mining, 🔩 Steel producers, 🔩 Steel industry"
Sysmex,$11.56 B,Japan,$55.24,-0.55%,-13.36%,⚕️ Healthcare
Globe Life,$11.51 B,USA,$122.36,0.09%,4.04%,🏦 Insurance
OTP Bank,$11.69 B,Hungary,$41.84,1.65%,64.27%,"🏦 Banks, 💳 Financial services"
Bank Leumi,$11.52 B,Israel,$7.56,-0.28%,-17.01%,"🏦 Banks, 💳 Financial services"
ZoomInfo,$11.33 B,USA,$15.64,2.62%,-45.12%,"👨‍💻 Software, 👩‍💻 Tech"
Banco de Chile,$11.48 B,Chile,$22.74,0.44%,18.31%,"🏦 Banks, 💳 Financial services"
Eurofins Scientific,$11.48 B,Luxembourg,$59.36,-0.29%,-13.38%,"🇫🇷 CAC 40, ⚕️ Diagnostics and Testing"
Ryan Specialty Group,$11.49 B,USA,$44.15,-0.16%,7.39%,💳 Financial services
Swire Properties,$11.50 B,Hong Kong,$1.97,-0.26%,-17.23%,🏠 Real estate
Dr. Reddy's,$11.51 B,India,$68.86,-1.28%,28.21%,"💊 Pharmaceuticals, 🧬 Biotech"
Al Dar Properties,$11.47 B,eu United Arab Emirates,$1.46,-1.29%,20.66%,"🏠 Real estate, 💰 Investment"
Smith & Nephew,$11.47 B,UK,$26.28,0.92%,-3.35%,Medical equipment
Aluminum Corporation of China,$11.44 B,China,$0.73,-0.76%,5.80%,Aluminum
Tianqi Lithium,$11.46 B,China,$7.76,-1.12%,-39.18%,⛏️ Mining
United Therapeutics,$11.35 B,USA,$241.65,-0.17%,-13.66%,"💊 Pharmaceuticals, 🧬 Biotech"
Punjab National Bank,$11.43 B,India,$1.04,-0.29%,48.57%,"🏦 Banks, 💳 Financial services"
Ares Capital,$11.43 B,USA,$20.08,0.70%,5.91%,N/A
China Eastern Airlines,$11.35 B,China,$0.57,0.49%,-28.75%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Rexford Industrial,$11.35 B,USA,$52.42,0.46%,-4.34%,N/A
Burlington Stores,$11.37 B,USA,$176.28,1.26%,-11.38%,"👚 Clothing, 🛍️ Retail"
Power Assets,$11.35 B,Hong Kong,$5.33,0.73%,1.14%,"🔋 Electricity, 🚰 Utility companies"
Revvity,$11.23 B,USA,$91.02,-0.72%,N/A,"⚕️ Diagnostics and Testing, 🧬 Biotech"
Tsingtao,$11.37 B,China,$10.00,0.07%,-36.14%,"🍷 Alcoholic beverages, 🥤 Beverages"
Prysmian Group,$11.33 B,Italy,$41.57,3.08%,13.86%,N/A
Ovintiv,$11.31 B,USA,$41.63,0.99%,-13.86%,"🛢 Oil&Gas, ⚡ Energy"
Traton,$11.20 B,Germany,$22.40,1.27%,45.93%,🚑 Specialty Vehicles
CNA Financial,$11.25 B,USA,$41.55,-0.24%,0.02%,"🏦 Insurance, 💳 Financial services"
Dick's Sporting Goods,$11.28 B,USA,$138.09,0.47%,13.28%,🎾 Sports goods
Amerco,$11.10 B,USA,$58.82,-0.79%,-11.15%,"🏦 Insurance, Rental & Leasing Services"
Legend Biotech,$10.80 B,USA,$59.28,-3.48%,6.89%,"💊 Pharmaceuticals, 🧬 Biotech"
Dino Polska,$11.11 B,Poland,$113.35,-0.37%,41.49%,"🛍️ Retail, 🛒 Supermarket Chains"
Kazatomprom,$10.99 B,eu Kazakhstan,$39.82,3.07%,38.50%,"⛏️ Mining, ⚡ Energy, ☢️ Uranium"
Ivanhoe Mines,$11.35 B,Canada,$9.30,2.93%,6.16%,⛏️ Mining
Teva Pharmaceutical Industries,$11.00 B,Israel,$9.82,-1.50%,18.03%,"💊 Pharmaceuticals, 🧬 Biotech"
Bank Hapoalim,$11.14 B,Israel,$8.33,-0.77%,-10.33%,"🏦 Banks, 💳 Financial services"
Pandora,$11.16 B,Denmark,$135.42,1.17%,78.65%,⌚ Luxury goods
Pentair,$11.14 B,UK,$67.41,1.00%,50.33%,N/A
Flex,$11.12 B,Singapore,$25.67,1.06%,16.47%,"🔌 Electronics, 🏭 Manufacturing"
Liberty Broadband,$11.04 B,USA,$75.64,-0.66%,-11.66%,N/A
Freddie Mac,$10.99 B,USA,$3.41,-1.09%,-4.14%,💳 Financial services
GAIL,$11.07 B,India,$1.68,-1.20%,48.67%,"🛢 Oil&Gas, 🚰 Utility companies, ⚡ Energy"
BE Semiconductor,$11.05 B,Netherlands,$143.75,1.60%,119.53%,"📟 Semiconductors, 👩‍💻 Tech"
IHH Healthcare,$11.02 B,Malaysia,$1.25,0.00%,-6.02%,⚕️ Healthcare
Paramount Global,$11.13 B,USA,$16.85,12.11%,-6.91%,"📰 Media/Press, Entertainment"
US Foods,$10.97 B,USA,$44.64,-0.11%,27.22%,🍴 Food
Nutanix,$11.16 B,USA,$46.02,2.33%,47.64%,"👨‍💻 Software, 👩‍💻 Tech"
Surgutneftegas,$10.89 B,Russia,$0.30,-0.56%,N/A,"🛢 Oil&Gas, ⚡ Energy"
Teleflex,$10.85 B,USA,$231.08,-0.64%,-5.73%,Medical devices
GAC (Guangzhou Automobile Group),$10.97 B,China,$1.30,-0.85%,-25.71%,"🚗 Automakers, 🏭 Manufacturing"
JD Sports Fashion,$10.89 B,UK,$2.10,0.69%,40.00%,"👚 Clothing, 🛍️ Retail, 🎾 Sports goods"
Bio-Techne,$10.80 B,USA,$68.31,0.38%,-16.64%,"💊 Pharmaceuticals, 🧬 Biotech"
Novolipetsk Steel,$10.87 B,Russia,$1.82,0.10%,N/A,"🔩 Steel producers, 🔩 Steel industry"
Hansoh Pharma,$10.93 B,China,$1.84,-0.83%,-6.60%,💊 Pharmaceuticals
Huazhu Hotels,$11.02 B,China,$34.57,-1.06%,-20.27%,"🏨 Hotels, 🌴 Travel"
Vedanta,$10.90 B,India,$2.94,-1.63%,-23.04%,⛏️ Mining
Equitable Holdings,$10.87 B,USA,$32.12,0.78%,5.59%,"🏦 Insurance, 💳 Financial services"
OpenText,$10.84 B,Canada,$39.93,0.40%,42.81%,"👨‍💻 Software, 👩‍💻 Tech"
NiSource,$10.87 B,USA,$26.30,-0.49%,-5.29%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
MTU Aero Engines,$11.01 B,Germany,$205.05,0.08%,-4.72%,"🚀 Aerospace, 🇩🇪 DAX"
Randstad,$10.90 B,Netherlands,$60.46,2.00%,4.22%,💼 Professional services
Lufthansa,$10.77 B,Germany,$9.01,-0.54%,11.10%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Ganfeng Lithium,$10.87 B,China,$5.88,-0.28%,-49.00%,⛏️ Mining
Five Below,$10.75 B,USA,$194.83,-0.56%,6.99%,🛍️ Retail
TVS Motor,$10.84 B,India,$22.83,-0.91%,83.08%,🏍 Motorcycle Manufacturers
Zillow,$10.73 B,USA,$46.41,-0.68%,32.83%,"🏠 Real estate, 🖥️ Internet, 👩‍💻 Tech"
Nippon Sanso,$10.83 B,Japan,$25.03,-3.58%,56.63%,🧪 Chemicals
Paycom,$10.76 B,USA,$186.57,0.71%,-41.47%,"👨‍💻 Software, 👩‍💻 Tech"
Admiral Group,$10.80 B,UK,$35.26,0.94%,45.88%,"🏦 Insurance, 💳 Financial services"
AEGON,$10.77 B,Netherlands,$5.61,0.54%,17.36%,🏦 Insurance
Bureau Veritas,$10.61 B,France,$23.36,-0.18%,-10.05%,💼 Professional services
Reinsurance Group of America,$10.78 B,USA,$163.64,0.55%,14.08%,🏦 Insurance
Yuanta Financial Holding,$10.71 B,Taiwan,$0.84,0.19%,15.07%,"🏦 Banks, 💳 Financial services"
Floor & Decor,$10.75 B,USA,$100.93,0.13%,33.05%,N/A
CarMax,$10.66 B,USA,$67.22,0.51%,2.66%,"🚘 Used car retailer, 🚗 Car retail"
JBS,$10.75 B,Brazil,$4.85,1.19%,19.16%,🍴 Food
Siam Makro,$10.72 B,Thailand,$1.01,0.00%,-7.34%,"🛍️ Retail, 🛒 Supermarket Chains"
NRG Energy,$10.79 B,USA,$47.81,0.72%,48.57%,N/A
New China Life Insurance,$10.71 B,China,$4.21,-1.02%,-3.00%,🏦 Insurance
Crown Holdings,$10.68 B,USA,$88.53,-0.28%,8.69%,"📦 Packaging, 🏭 Manufacturing"
Western Midstream,$10.56 B,USA,$27.84,-1.42%,8.71%,"🛢 Oil&Gas, ⚡ Energy"
Julius Bär,$10.69 B,Switzerland,$52.27,1.89%,-9.19%,"🏦 Banks, 💳 Financial services"
Svenska Cellulosa Aktiebolaget (SCA),$10.67 B,Sweden,$15.10,0.48%,10.46%,📄 Pulp and paper
Bajaj Holdings & Investment,$10.66 B,India,$95.79,-1.19%,27.58%,💰 Investment
Lamar Advertising,$10.71 B,USA,$105.02,1.29%,11.59%,➡️ Advertising
GFL Environmental,$10.52 B,Canada,$28.46,-0.63%,0.46%,♻️ Waste & Recycling
Lodha Group,$10.61 B,India,$11.01,2.39%,66.57%,🏠 Real estate
Xero,$10.58 B,New Zealand,$69.09,1.34%,47.88%,"👨‍💻 Software, 👩‍💻 Tech"
Nexi,$10.50 B,Italy,$8.01,0.71%,-2.55%,💳 Financial services
Westrock,$10.55 B,USA,$41.16,0.46%,14.33%,📦 Packaging
Coca-Cola HBC,$10.51 B,Switzerland,$28.62,0.66%,18.85%,🥤 Beverages
Halma,$10.53 B,UK,$27.76,1.89%,9.42%,🏙 Conglomerate
Nissin Foods,$10.57 B,Japan,$104.35,-0.73%,36.05%,🍴 Food
Barito Pacific,$10.56 B,Indonesia,$0.11,9.38%,120.00%,"🛢 Oil&Gas, 🧪 Chemicals, ⚡ Energy"
Tata Consumer Products,$10.55 B,India,$11.36,-1.08%,16.16%,🛍 Consumer goods
RenaissanceRe,$10.53 B,Bermuda,$200.67,0.52%,7.45%,🏦 Insurance
Saia,$10.39 B,USA,$391.50,0.29%,72.10%,🚚 Transportation
Grupo ACS,$10.54 B,Spain,$40.42,1.05%,42.68%,"🏗 Construction, 👷 Engineering"
Mengniu Dairy,$10.53 B,China,$2.68,-2.34%,-38.39%,"🍴 Food, 🥛 Dairy companies"
Apache Corporation,$10.57 B,USA,$34.47,1.89%,-19.41%,"🛢 Oil&Gas, ⚡ Energy"
Chr. Hansen,$10.46 B,Denmark,$79.50,-0.18%,26.55%,🍴 Food
Plains All American Pipeline,$10.42 B,USA,$14.87,-0.54%,27.09%,"🛢 Oil&Gas, 🚚 Transportation, ⚡ Energy, 🛣️ Infrastructure"
NN Group,$10.50 B,Netherlands,$38.37,0.45%,-10.31%,"🏦 Insurance, 💳 Financial services"
Shiseido,$10.49 B,Japan,$26.28,-2.22%,-43.07%,"🛍 Consumer goods, 💄 Cosmetics and Beauty"
Ceridian,$10.48 B,USA,$67.17,1.14%,2.05%,"👨‍💻 Software, 👩‍💻 Tech"
Coty,$10.36 B,USA,$11.62,-0.34%,44.89%,"🛍 Consumer goods, ⌚ Luxury goods, Flavors & Fragrances, 💄 Cosmetics and Beauty"
Recordati,$10.37 B,Italy,$50.40,2.28%,18.37%,"💊 Pharmaceuticals, 🧬 Biotech"
Wise PLC,$10.43 B,UK,$10.18,0.30%,27.09%,💳 Financial services
Charles River Laboratories,$10.48 B,USA,$204.46,0.83%,-2.67%,🧬 Biotech
Union Bank of India,$10.41 B,India,$1.41,0.47%,30.56%,"🏦 Banks, 💳 Financial services"
Japan Exchange Group,$10.41 B,Japan,$20.03,-0.41%,42.06%,"💳 Financial services, 🏛 Stock exchanges, 🏛 Stock/Crypto exchanges"
Centrica,$10.22 B,UK,$1.88,0.03%,66.37%,"🛢 Oil&Gas, 🚰 Utility companies, ⚡ Energy"
Covestro,$10.30 B,Germany,$54.61,-1.06%,43.63%,"🧪 Chemicals, 🇩🇪 DAX"
Lucid Motors,$10.82 B,USA,$4.73,5.58%,-45.51%,"🚗 Automakers, 🔋 Electric Vehicles"
Longfor Group,$10.38 B,China,$1.58,-1.60%,-50.63%,🏠 Real estate
Bank of Nanjing,$10.36 B,China,$1.00,0.84%,-32.43%,"🏦 Banks, 💳 Financial services"
Powszechny Zakład Ubezpieczeń,$10.37 B,Poland,$12.02,0.46%,64.21%,🏦 Insurance
Hai Di Lao Hot Pot,$10.35 B,China,$1.86,1.68%,-34.74%,"🍔 Restaurant chains, 🍴 Food"
Performance Food Group,$10.18 B,USA,$65.45,-1.16%,8.72%,🍴 Food
Vodacom,$10.10 B,South Africa,$5.22,1.05%,-23.57%,📡 Telecommunication
Arabian Internet and Communications Services,$10.31 B,Saudi Arabia,$86.73,2.46%,39.19%,🖥️ IT services
Pure Storage,$10.34 B,USA,$33.17,2.03%,13.83%,👩‍💻 Tech
GBL,$10.26 B,Belgium,$78.85,0.22%,-1.83%,N/A
Severn Trent,$10.21 B,UK,$34.17,-0.26%,2.77%,"🚰 Utility companies, 🛣️ Infrastructure"
TopBuild,$10.17 B,USA,$320.27,1.20%,102.11%,N/A
MTN Group,$10.02 B,South Africa,$5.54,0.55%,-20.29%,📡 Telecommunication
Chubu Electric Power,$10.25 B,Japan,$13.56,1.24%,45.96%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Cemex,$10.27 B,Mexico,$7.09,1.29%,68.41%,"Cement, 🧱 Building materials"
Healthpeak Properties,$10.25 B,USA,$18.75,-0.11%,-26.53%,"🏠 Real estate, 💰 Investment"
Celcomdigi,$10.19 B,Malaysia,$0.87,-1.69%,-1.14%,📡 Telecommunication
Eastman Chemical,$10.05 B,USA,$84.85,-0.26%,-0.48%,🧪 Chemicals
F5 Networks,$10.19 B,USA,$170.82,1.02%,12.40%,"👨‍💻 Software, 👩‍💻 Tech, 🔒 IT security"
Penske Automotive,$10.09 B,USA,$150.26,-0.07%,19.52%,"🛍️ Retail, 🚗 Car retail"
Amdocs,$10.20 B,USA,$85.73,0.75%,-3.54%,"👨‍💻 Software, 👩‍💻 Tech"
Stora Enso,$10.22 B,Finland,$13.00,0.42%,-18.14%,📄 Pulp and paper
Qorvo,$10.12 B,USA,$103.97,3.64%,5.25%,"📟 Semiconductors, 👩‍💻 Tech"
Oracle Corp Japan,$10.13 B,Japan,$79.15,-1.08%,36.30%,"👨‍💻 Software, 👩‍💻 Tech"
ANA Holdings,$10.11 B,Japan,$21.49,0.45%,0.42%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Havells India,$10.09 B,India,$16.11,-0.48%,9.29%,🏠 Home & Kitchen Appliances
Mediobanca,$10.09 B,Italy,$12.01,0.72%,25.23%,"🏦 Banks, 💳 Financial services"
Casey's General Stores,$9.98 B,USA,$268.01,-2.42%,7.79%,N/A
Bank Albilad,$10.10 B,Saudi Arabia,$10.10,1.20%,-19.78%,"🏦 Banks, 💳 Financial services"
Türkiye Petrol Rafinerileri,$10.17 B,Turkey,$5.28,-1.55%,58.08%,"🛢 Oil&Gas, ⚡ Energy"
Boston Properties,$10.05 B,USA,$64.08,-0.82%,-3.30%,🏠 Real estate
Geely,$10.09 B,China,$1.00,-1.63%,-38.27%,"🚗 Automakers, 🏭 Manufacturing"
Lifco,$10.03 B,Sweden,$23.12,0.50%,32.49%,N/A
Knorr-Bremse,$9.99 B,Germany,$61.82,0.49%,15.75%,🚘 Automotive Suppliers
Robinhood,$10.14 B,USA,$11.73,2.18%,23.21%,"💳 Financial services, 🖥️ Internet, 👩‍💻 Tech"
Eiffage,$10.02 B,France,$103.91,0.54%,2.93%,🏗 Construction
TFI International,$9.90 B,Canada,$115.30,-0.51%,11.00%,"📦 Courier, 🚚 Transportation"
Emcor,$10.10 B,USA,$214.73,1.08%,42.37%,🏗 Construction
Camden Property Trust,$9.99 B,USA,$93.65,0.27%,-19.41%,"🏠 Real estate, 💰 Investment, 🏘️ REITs"
C. H. Robinson,$9.85 B,USA,$84.50,-1.77%,-12.05%,🚚 Transportation
Smurfit Kappa Group,$10.01 B,Ireland,$38.06,0.23%,4.22%,📦 Packaging
International Consolidated Airlines,$9.75 B,Spain,$1.84,-8.23%,15.72%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
ASR Nederland,$10.04 B,Netherlands,$47.61,0.78%,6.11%,"🏦 Insurance, 💳 Financial services"
Isuzu,$10.00 B,Japan,$12.90,-3.70%,3.45%,🚗 Automakers
Accor,$9.95 B,France,$37.57,2.20%,38.63%,"🏨 Hotels, 🌴 Travel"
Acciona Energías Renovables,$9.94 B,Spain,$30.46,0.36%,-20.45%,"🔋 Electricity, 🌞 Renewable energy, ⚡ Energy"
Getlink,$10.03 B,France,$18.55,0.73%,12.56%,"🚂 Railways, 🚚 Transportation"
